Word,uniqueID,defs_wordNet,n_synsets,rateGPTLaura,rateSandbox,ambigious_final,comment
egg roll,egg_roll,minced vegetables and meat wrapped in a pancake and fried',1,,0,0,
eggbeater,eggbeater,an aircraft without wings that obtains its lift from the rotation of overhead blades';; 'a mixer for beating eggs or whipping cream',2,,0,0,
eggnog,eggnog,a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor',1,,0,0,
eggplant,eggplant,egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow';; 'hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable',2,,0,0,
eggshell,eggshell,"""the exterior covering of a bird's egg""",1,,0,0,
elbow,elbow,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped';;'a sharp bend in a road or river';;'a length of pipe with a sharp bend in it';;'the part of a sleeve that covers the elbow joint';;'the joint of a mammal or bird that corresponds to the human elbow',5,,[0 0],0,
electric chair,electric_chair,an instrument of execution by electrocution; resembles an ordinary seat for one person',1,,0,0,
elephant,elephant,five-toed pachyderm';;'the symbol of the Republican Party; introduced in cartoons by Thomas Nast in 1874',2,,[0 0],0,
emerald,emerald,a green transparent form of beryl; highly valued as a gemstone';;'a transparent piece of emerald that has been cut and polished and is valued as a precious gem';;'the green color of an emerald',3,,[0 0 0],0,
enchilada,enchilada,tortilla with meat filling baked in tomato sauce seasoned with chili',1,,0,0,
engine,engine,"motor that converts thermal energy to mechanical work';;'something used to achieve a purpose';;'a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks';;'an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc.'",4,,[0 0],0,
envelope,envelope,"a flat (usually rectangular) container for a letter, thin package, etc.';;'any wrapper or covering';;'a curve that is tangent to each of a family of curves';;'a natural covering (as by a fluid)';;'the maximum operating capability of a system (especially an aircraft)';;'the bag containing the gas in a balloon'",6,,[0 0],0,
eraser,eraser,an implement used to erase something',1,,0,0,
espresso,espresso,strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans',1,,0,0,
exerciser,exerciser,sports equipment used in gymnastic exercises',1,,0,0,
exhaust pipe,exhaust_pipe,a pipe through which burned gases travel from the exhaust manifold to the muffler',1,,0,0,
extinguisher,extinguisher,a manually operated device for extinguishing small fires',1,,0,0,
eye,eye,the organ of sight';;'good discernment (either visually or as if visually)';;'attention to what is seen';;'an area that is approximately central within some larger region';;'a small hole or loop (as in a needle)',5,,[0],0,
eye patch,eye_patch,,,,0,0,
eyedropper,eyedropper,,,,0,0,
eyeliner,eyeliner,makeup applied to emphasize the shape of the eyes',1,,0,0,
eyepiece,eyepiece,combination of lenses at the viewing end of optical instruments',1,,0,0,
face,face,the front of the human head from the forehead to the chin and ear to ear';; 'the feelings expressed on a person's face';; 'the general outward appearance of something';; 'the striking or working surface of an implement';; 'a part of a person that is used to refer to a person';; 'a surface forming part of the outside of an object';; 'the part of an animal corresponding to the human face';; 'the side upon which the use of a thing depends (usually the most prominent surface of an object)';; 'a contorted facial expression';; 'a specific size and style of type within a type family';; 'status in the eyes of others';; 'impudent aggressiveness';; 'a vertical surface of a building or cliff',13,,0,0,face is very typical
face mask,face_mask,mask that provides a protective covering for the face in such sports as baseball or football or hockey',1,,0,0,
fast food,fast_food,inexpensive food (hamburgers or chicken or milkshakes) prepared and served quickly',1,,0,0,
faucet,faucet,a regulator for controlling the flow of a liquid from a reservoir',1,,0,0,
feather,feather,the light horny waterproof structure forming the external covering of birds';;'turning an oar parallel to the water between pulls',2,,[0 0],0,
fence,fence,a barrier that serves to enclose an area';;'a dealer in stolen property',2,,[0 0 0],0,
fencepost,fencepost,,,,0,0,
fern,fern,any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores',1,,0,0,
ferret,ferret,musteline mammal of prairie regions of United States; nearly extinct';;'domesticated albino variety of the European polecat bred for hunting rats and rabbits',2,,[0 0],0,
ferris wheel,ferris_wheel,a vertical rotating mechanism consisting of a large wheel with suspended seats that remain upright as the wheel rotates; provides a ride at an amusement park',1,,0,0,
ferry,ferry,a boat that transports people or vehicles across a body of water and operates on a regular schedule';;'transport by boat or aircraft',2,,[0 0],0,
fig,fig,a diagram or picture illustrating textual material';;'Mediterranean tree widely cultivated for its edible fruit';;'a Libyan terrorist group organized in 1995 and aligned with al-Qaeda; seeks to radicalize the Libyan government; attempted to assassinate Qaddafi';;'fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried',4,,[0],0,
figurine,figurine,a small carved or molded figure',1,,0,0,
file,file1,0,,1,0,1,ambiguous
file,file2,0,,1,0,1,ambiguous
filing cabinet,filing_cabinet,office furniture consisting of a container for keeping papers in order',1,,0,0,
filter,filter,device that removes something from whatever passes through it';;'an electrical device that alters the frequency spectrum of signals passing through it',2,,[0 0],0,
finger,finger,any of the terminal members of the hand (sometimes excepting the thumb)';;'the length of breadth of a finger used as a linear measure';;'one of the parts of a glove that provides covering for a finger or thumb',3,,[0 0],0,
fingerprint,fingerprint,a print made by an impression of the ridges in the skin of a finger; often used for biometric identification in criminal investigations';;'a generic term for any identifying characteristic';;'a smudge made by a (dirty) finger',3,,[1 0],0,
fire,fire,the event of something burning (often destructive)';; 'the act of firing weapons or artillery at an enemy';; 'the process of combustion of inflammable materials producing heat and light and (often) smoke';; 'a fireplace in which a relatively small fire is burning';; 'once thought to be one of four elements composing the universe (Empedocles)';; 'feelings of great warmth and intensity';; 'fuel that is burning and is used as a means for cooking';; 'a severe trial';; 'intense adverse criticism',9,,0,0,typical
fire alarm,fire_alarm,a shout or bell to warn that fire has broken out';;'an alarm that is tripped off by fire or smoke',2,,[0 0],0,
fire hydrant,fire_hydrant,an upright hydrant for drawing water to use in fighting a fire',1,,0,0,
fire pit,fire_pit,a pit whose floor is incandescent lava',1,,0,0,
firecracker,firecracker,firework consisting of a small explosive charge and fuse in a heavy paper casing',1,,0,0,
fireplace,fireplace,an open recess in a wall at the base of a chimney where a fire can be built',1,,0,0,
firetruck,firetruck,,,,0,0,
firewood,firewood,wood used for fuel',1,,0,0,
fireworks,fireworks,(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.',1,,0,0,
first-aid kit,first-aid_kit,kit consisting of a set of bandages and medicines for giving first aid',1,,0,0,
fish,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills';;'the flesh of fish used as food';;'(astrology) a person who is born while the sun is in Pisces';;'the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20',4,,[0 0],0,
fishbowl,fishbowl,a state of affairs in which you have no privacy';;'a transparent bowl in which small fish are kept',2,,[0 0],0,
fishhook,fishhook,a sharp barbed hook for catching fish',1,,0,0,
fishing pole,fishing_pole,a rod of wood or steel or fiberglass that is used in fishing to extend the fishing line',1,,0,0,
fishnet stockings,fishnet_stockings,,,,0,0,
flag,flag,"emblem usually consisting of a rectangular piece of cloth of distinctive design';;'a listing printed in all issues of a newspaper or magazine (usually on the editorial page) that gives the name of the publication and the names of the editorial staff, etc.';;'plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals';;'a rectangular piece of fabric used as a signalling device';;'flagpole used to mark the position of the hole on a golf green';;'stratified stone that splits into pieces suitable as paving stones';;'a conspicuously marked or shaped tail'",7,,[0 0],0,
flagpole,flagpole,surveying instrument consisting of a straight rod painted in bands of alternate red and white each one foot wide; used for sightings by surveyors';;'a tall staff or pole on which a flag is raised',2,,[0 0],0,
flamethrower,flamethrower,a weapon that squirts ignited fuel for several yards',1,,0,0,
flamingo,flamingo,large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes',1,,0,0,
flan,flan,open pastry filled with fruit or custard',1,,0,0,
flashbulb,flashbulb,a lamp for providing momentary light to take a photograph',1,,0,0,
flashlight,flashlight,a small portable battery-powered electric lamp',1,,0,0,
flask,flask,bottle that has a narrow neck';;'the quantity a flask will hold',2,,[0 0],0,
flatiron,flatiron,an iron that was heated by placing it on a stove',1,,0,0,
flip-flop,flip_flop,a decision to reverse an earlier decision';;'a backless sandal held to the foot by a thong between the big toe and the second toe';;'an electronic circuit that can assume either of two stable states';;'a backward somersault',4,,[0 0],0,
flipper,flipper,a shoe for swimming; the paddle-like front is an aid in swimming (especially underwater)';;'the flat broad limb of aquatic animals specialized for swimming',2,,[0 2 0],0,
float,float,the time interval between the deposit of a check in a bank and its payment';;'the number of shares outstanding and available for trading by the public';;'a drink with ice cream floating in it';;'an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade';;'a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco';;'something that floats on the surface of water';;'an air-filled sac near the spinal column in many fishes that helps maintain buoyancy',7,,[1 0],2,
floss,floss,a soft loosely twisted thread used in embroidery';;'a soft thread for cleaning the spaces between the teeth',2,,[0 0],0,
flour,flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain',1,,0,0,
flower,flower,a plant cultivated for its blooms or blossoms';;'reproductive organ of angiosperm plants especially one having showy or colorful parts';;'the period of greatest prosperity or productivity',3,,[0 0],0,
flute,flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown';;'a tall narrow wineglass';;'a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)',3,,[0 0],0,
fly,fly,two-winged insects characterized by active flight\';;\'flap consisting of a piece of canvas that can be drawn back to provide entrance to a tent\';;\'an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth\';;\'(baseball) a hit that flies up in the air\';;\'fisherman\'s lure consisting of a fishhook decorated to look like an insect',5,,[1],0,
flypaper,flypaper,paper that is poisoned or coated with a sticky substance to kill flies',1,,0,0,
flyswatter,flyswatter,an implement with a flat part (of mesh or plastic) and a long handle; used to kill insects',1,,0,0,
foam,foam,a mass of small bubbles formed in or on a liquid';;'a lightweight material in cellular form; made by introducing gas bubbles during manufacture',2,,[0 0],0,
folder,folder,a small book usually having a paper cover';;'covering that is folded over to protect the contents',2,,[0 0],0,
fondue,fondue,cubes of meat or seafood cooked in hot oil and then dipped in any of various sauces';;'hot cheese or chocolate melted to the consistency of a sauce into which bread or fruits are dipped',2,,[0 0],0,
food processor,food_processor,a kitchen appliance with interchangeable blades; used for shredding or blending or chopping or slicing food',1,,0,0,
football helmet,football_helmet,a padded helmet with a face mask to protect the head of football players',1,,0,0,
footbath,footbath,a small bathtub for warming or washing or disinfecting the feet',1,,0,0,
footprint,footprint,a mark of a foot or shoe on a surface';;'a trace suggesting that something was once present or felt or otherwise important';;'the area taken up by some object',3,,[0 0],0,
footrest,footrest,a low seat or a stool to rest the feet of a seated person',1,,0,0,
fork,fork,cutlery used for serving and eating food';;'the act of branching out or dividing into branches';;'the region of the angle formed by the junction of two branches';;'an agricultural tool used for lifting or digging; has a handle and metal prongs';;'the angle formed by the inner sides of the legs where they join the human trunk',5,,[1],0,
forklift,forklift,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them',1,,0,0,
fossil,fossil,someone whose style is out of fashion';;'the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil',2,,[0 0],0,
fountain pen,fountain_pen,a pen that is supplied with ink from a reservoir in its barrel',1,,0,0,
fox,fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs';;'a shifty deceptive person';;'the grey or reddish-brown fur of a fox';;'English statesman who supported American independence and the French Revolution (1749-1806)';;'English religious leader who founded the Society of Friends (1624-1691)';;'a member of an Algonquian people formerly living west of Lake Michigan along the Fox River';;'the Algonquian language of the Fox',7,,[0 0],0,
freezer,freezer,electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time',1,,0,0,
french fries,french_fries,strips of potato fried in deep fat',1,,0,0,
french horn,french_horn,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves',1,,0,0,
frisbee,frisbee,"a light, plastic disk about 10 inches in diameter; propelled with a flip of the wrist for recreation or competition'",1,,0,0,
frog,frog,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species';;'a person of French descent';;'a decorative loop of braid or cord',3,,[0 0],0,
fruit,fruit,the ripened reproductive body of a seed plant';;'an amount of a product';;'the consequence of some effort or action',3,1,[0 0],0,
fruitcake,fruitcake,a whimsically eccentric person';;'a rich cake containing dried fruit and nuts and citrus peel and so on',2,,[0],0,
fudge,fudge,soft creamy candy',1,,0,0,
fungus,fungus,an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia',1,,0,0,
funnel,funnel,a conical shape with a wider and a narrower opening at the two ends';;'a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth';;'(nautical) smokestack consisting of a shaft for ventilation or the passage of smoke (especially the smokestack of a ship)',3,,[0 0],0,
fur coat,fur_coat,a coat made of fur',1,,0,0,
furnace,furnace,"an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc.'",1,,0,0,
fuse,fuse,an electrical device that can interrupt the flow of electrical current when it is overloaded';;'any igniter that is used to initiate the burning of a propellant',2,,[0 0],0,
gallows,gallows,an instrument of execution consisting of a wooden frame from which a condemned person is executed by hanging',1,,0,0,
garbage,garbage,food that is discarded (as from a kitchen)';;'a worthless message';;'a receptacle where waste can be discarded',3,,[0 0],0,
garbage truck,garbage_truck,a truck for collecting domestic refuse',1,,0,0,
gargoyle,gargoyle,a spout that terminates in a grotesquely carved figure of a person or animal';;'an ornament consisting of a grotesquely carved figure of a person or animal',2,,[0 0],0,
garlic,garlic,bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves';;'aromatic bulb used as seasoning',2,,[0],0,
garter,garter,a band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)',1,,0,0,
gas mask,gas_mask,,,,0,0,
gasket,gasket,seal consisting of a ring for packing pistons or sealing a pipe joint',1,,0,0,
gate,gate,a movable barrier in a fence or wall';;'a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs';;'total admission receipts at a sports event';;'passageway (as in an air terminal) where passengers can embark or disembark',4,,[0 0],0,
gauge,gauge,a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.';;'accepted or approved instance or example of a quantity or quality against which others are judged or measured or compared';;'the distance between the rails of a railway or between the wheels of a train';;'the thickness of wire';;'diameter of a tube or gun barrel',5,,[0 0],0,
gauze,gauze,(medicine) bleached cotton cloth of plain weave used for bandages and dressings';;'a net of transparent fabric with a loose open weave',2,,[0 0],0,
gavel,gavel,a small mallet used by a presiding officer or a judge',1,,0,0,
gazelle,gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes',1,,0,0,
gear,gear,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion';;'wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed';;'a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)';;'equipment consisting of miscellaneous articles needed for a particular operation or sport etc.',4,,[0 0],0,
gearshift,gearshift,a mechanical device for engaging and disengaging gears',1,,0,0,
gel,gel,a colloid in a more solid form than a sol';;'a thin translucent membrane used over stage lights for color effects',2,,[0 0],0,
gem,gem,art highly prized for its beauty or perfection';;'a crystalline rock that can be cut and polished for jewelry';;'a person who is as brilliant and precious as a piece of jewelry';;'a sweet quick bread baked in a cup-shaped pan';;'a precious or semiprecious stone incorporated into a piece of jewelry',5,,[0],0,
generator,generator,an apparatus that produces a vapor or gas';;'engine that converts mechanical energy into electrical energy by electromagnetic induction';;'someone who originates or causes or initiates something';;'an electronic device for producing a signal voltage',4,,[0 0],0,
gift,gift,something acquired without compensation';;'natural abilities or qualities';;'the act of giving',3,,[0 1],0,
gingerbread man,gingerbread_man,gingerbread cut in the shape of a person',1,,0,0,
giraffe,giraffe,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa',1,,0,0,
girl,girl,a young woman';;'a youthful female person';;'a female human offspring';;'a girl or young woman with whom a man is romantically involved';;'a friendly informal reference to a grown woman',5,,[0 0],0,
glass,glass,a brittle transparent solid with irregular atomic structure';;'a container for holding liquids while drinking';;'the quantity a glass will hold';;'a small refracting telescope';;'an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant';;'a mirror; usually a ladies' dressing mirror';;'glassware collectively',7,1,[0 0],1,material
glasses,glasses,0,,1,0,1,ambiguous
globe,globe,the 3rd planet from the sun; the planet we live on';;'an object with a spherical shape';;'a sphere on which a map (especially of the earth) is represented',3,,[0 0],0,
glove,glove,the handwear used by fielders in playing baseball';;'handwear: covers the hand and wrist';;'boxing equipment consisting of big and padded coverings for the fists of the fighters; worn for the sport of boxing',3,,[0 0 0],0,
glue,glue,cement consisting of a sticky substance that is used as an adhesive',1,,0,0,
go-kart,go-kart,a small low motor vehicle with four wheels and an open framework; used for racing',1,,0,0,
goalpost,goalpost,one of a pair of posts (usually joined by a crossbar) that are set up as a goal at each end of a playing field',1,,0,0,
goat,goat,any of numerous agile ruminants related to sheep but having a beard and straight horns';;'a victim of ridicule or pranks';;'(astrology) a person who is born while the sun is in Capricorn';;'the tenth sign of the zodiac; the sun is in this sign from about December 22 to January 19',4,,[0 0],0,
goblet,goblet,a drinking glass with a base and stem';;'a bowl-shaped drinking vessel; especially the Eucharistic cup',2,,[0 0],0,
goggles,goggles,tight-fitting spectacles worn to protect the eyes',1,,0,0,
gold,gold,coins made of gold';;'a deep yellow color';;'a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia';;'great wealth; --Ben Jonson';;'something likened to the metal in brightness or preciousness or superiority etc.',5,,[0],0,
goldfish,goldfish,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes',1,,0,0,
golf cart,golf_cart,a small motor vehicle in which golfers can ride between shots',1,,0,0,
gong,gong,a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick';;'a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument',2,,[0 0],0,
goose,goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks';;'a man who is a stupid incompetent fool';;'flesh of a goose (domestic or wild)',3,,[0],0,
gopher,gopher,a zealously energetic person (especially a salesman)';;'a native or resident of Minnesota';;'any of various terrestrial burrowing rodents of Old and New Worlds; often destroy crops';;'burrowing rodent of the family Geomyidae having large external cheek pouches; of Central America and southwestern North America';;'burrowing edible land tortoise of southeastern North America',5,,[0 0],0,
gorilla,gorilla,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa',1,,0,0,
gourd,gourd,bottle made from the dried shell of a bottle gourd';;'any of numerous inedible fruits with hard rinds';;'any vine of the family Cucurbitaceae that bears fruits with hard rinds',3,,[0 0],0,
graffiti,graffiti,a rude decoration inscribed on rocks or walls';;'a rude decoration inscribed on rocks or walls',2,,[0 0],0,
gramophone,gramophone,an antique record player; the sound of the vibrating needle is amplified acoustically',1,,0,0,
granite,granite,plutonic igneous rock having visibly crystalline texture; generally composed of feldspar and mica and quartz';;'something having the quality of granite (unyielding firmness)',2,,[0 0],0,
granola,granola,cereal made of especially rolled oats with dried fruits and nuts and honey or brown sugar',1,,0,0,
grape,grape,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters';;'any of numerous woody vines of genus Vitis bearing clusters of edible berries';;'a cluster of small projectiles fired together from a cannon to produce a hail of shot',3,,[0 0],0,
grapefruit,grapefruit,citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp';;'large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half',2,,[0 0],0,
grapevine,grapevine,gossip spread by spoken communication';;'any of numerous woody vines of genus Vitis bearing clusters of edible berries',2,,[0],0,
grass,grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay';;'German writer of novels and poetry and plays (born 1927)';;'a police informer who implicates many people';;'bulky food like grass or hay for browsing or grazing horses or cattle';;'street names for marijuana',5,,[0 0],0,
grasshopper,grasshopper,terrestrial plant-eating insect with hind legs adapted for leaping';;'a cocktail made of creme de menthe and cream (sometimes with creme de cacao)',2,,[0 0],0,
grate,grate,a frame of iron bars to hold a fire';;'a harsh rasping sound made by scraping something';;'a barrier that has parallel or crossed bars blocking a passage but admitting air',3,,[0 0 0],0,
grater,grater,utensil with sharp perforations for shredding foods (as vegetables or cheese)',1,,0,0,
gravel,gravel,rock fragments and pebbles',1,,0,0,
gravestone,gravestone,a stone that is used to mark a grave',1,,0,0,
gravy,gravy,"a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats';;'the seasoned but not thickened juices that drip from cooking meats; often a little water is added';;'a sudden happening that brings good fortune (as a sudden opportunity to make money)'",3,,[0 0],0,
green beans,green_beans,immature bean pod eaten as a vegetable';;'a common bean plant cultivated for its slender green edible pods',2,,[0 0],0,
grenade,grenade,a small explosive bomb thrown by hand or fired from a missile',1,,0,0,
grille,grille,small opening (like a window in a door) through which business can be transacted';;'grating that admits cooling air to car's radiator';;'a framework of metal bars used as a partition or a grate',3,,[0 0],0,
grinder,grinder,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States';;'grinding tooth with a broad crown; located behind the premolars';;'machinery that processes materials by grinding or crushing';;'a machine tool that polishes metal',4,,[0 0],0,
grits,grits,coarsely ground hulled corn boiled as a breakfast dish in the southern United States';;'a hard coarse-grained siliceous sandstone';;'fortitude and determination',3,,[1 0],0,
groundhog,groundhog,reddish brown North American marmot',1,,0,0,
guacamole,guacamole,a dip made of mashed avocado mixed with chopped onions and other seasonings',1,,0,0,
guardrail,guardrail,a railing placed alongside a stairway or road for safety',1,,0,0,
guillotine,guillotine,closure imposed on the debate of specific sections of a bill';;'instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people',2,,[0 0],0,
guinea pig,guinea_pig,a person who is subjected to experimental or other observational procedures; someone who is an object of investigation';;'stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research',2,,[1 0],0,
guitar,guitar,a stringed instrument usually having six strings; played by strumming or plucking',1,,0,0,
gumball,gumball,,,,0,0,
gumdrop,gumdrop,a jellied candy coated with sugar crystals',1,,0,0,
gun,gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)';;'large but transportable armament';;'a person who shoots a gun (as regards their ability)';;'a professional killer who uses a gun';;'a hand-operated pump that resembles a revolver; forces grease into parts of a machine';;'a pedal that controls the throttle valve';;'the discharge of a firearm as signal or as a salute in military ceremonies',7,,[0 0],0,
gurney,gurney,a metal stretcher with wheels',1,,0,0,
gutter,gutter,a channel along the eaves or on the roof; collects and carries away rainwater';;'misfortune resulting in lost effort or money';;'a worker who guts things (fish or buildings or cars etc.)';;'a tool for gutting fish',4,,[0],0,
gyro,gyro,a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread';;'rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction',2,,[0 0],0,
gyroscope,gyroscope,rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction',1,,0,0,
hail,hail,precipitation of ice pellets when there are strong rising air currents';;'many objects thrown forcefully through the air';;'enthusiastic greeting',3,,[0 0],0,
hair,hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss';;'a very small distance or space';;'filamentous hairlike growth on a plant';;'any of the cylindrical filaments characteristically growing from the epidermis of a mammal';;'cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments';;'a filamentous projection or process on an organism',6,,[0 0],0,
hairbrush,hairbrush,"""a brush used to groom a person's hair""",1,,0,0,
hairdryer,hairdryer,,,,0,0,
hairnet,hairnet,a small net that some women wear over their hair to keep it in place',1,,0,0,
hairpin,hairpin,"""a double pronged pin used to hold women's hair in place""",1,,0,0,
hairspray,hairspray,,,,0,0,
ham,ham,meat cut from the thigh of a hog (usually smoked)';;'(Old Testament) son of Noah';;'a licensed amateur radio operator';;'an unskilled actor who overacts',4,,[0 0],0,
hamburger,hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients';;'beef that has been ground'",2,,[0 0],0,
hammer,hammer,"the part of a gunlock that strikes the percussion cap when the trigger is pulled';; 'a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking';; 'the ossicle attached to the eardrum';; 'a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.';; 'a heavy metal sphere attached to a flexible wire; used in the hammer throw';; 'a striker that is covered in felt and that causes the piano strings to vibrate';; 'a power tool for drilling rocks';; 'the act of pounding (delivering repeated heavy blows)'",8,,0,0,typical
hammock,hammock,a small natural hill';;'a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily',2,,[0 0],0,
hamster,hamster,short-tailed Old World burrowing rodent with large cheek pouches',1,,0,0,
hand,hand,the (prehensile) extremity of the superior limb';; 'a hired laborer on a farm or ranch';; 'something written by hand';; 'ability';; 'a position given by its location to the side of an object';; 'the cards held in a card game by a given player at any given time';; 'one of two sides of an issue';; 'a rotating pointer on the face of a timepiece';; 'a unit of length equal to 4 inches; used in measuring horses';; 'a member of the crew of a ship';; 'a card player in a game of bridge';; 'a round of applause to signify approval';; 'terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos); - Springfield (Mass.) Union';; 'physical assistance',14,,0,0,hand is very typical 
handbrake,handbrake,,,,0,0,
handcuff,handcuff,shackle that consists of a metal loop that can be locked around the wrist; usually used in pairs',1,,0,0,
handkerchief,handkerchief,a square piece of cloth used for wiping the eyes or nose or as a costume accessory',1,,0,0,
handle,handle,the appendage to an object that is designed to be held in order to use or move it',1,,0,0,
handlebar,handlebar,the shaped bar used to steer a bicycle',1,,0,0,
handprint,handprint,,,,0,0,
hanger,hanger,a worker who hangs something';;'anything from which something can be hung',2,,[0 0],0,
hard disk,hard_disk,a rigid magnetic disk mounted permanently in a drive unit',1,,0,0,
harmonica,harmonica,a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole',1,,0,0,
harness,harness,a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)';;'stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart',2,,[0],0,
harp,harp,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers';;'a pair of curved vertical supports for a lampshade';;'a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole',3,,[0 0],0,
hash,hash,chopped meat mixed with potatoes and browned';;'purified resinous extract of the hemp plant; used as a hallucinogen',2,,[0 0],1,hashisch drug
hat,hat,'headdress that protects the head from bad weather; has shaped crown and usually a brim\';;\'an informal term for a person\'s role',2,,[0 0],0,
hatbox,hatbox,a round piece of luggage for carrying hats',1,,0,0,
hatchet,hatchet,weapon consisting of a fighting ax; used by North American Indians';;'a small ax with a short handle used with one hand (usually to chop wood)',2,,[0],0,
hawk,hawk,diurnal bird of prey typically having short rounded wings and a long tail';; 'an advocate of an aggressive policy on foreign relations';; 'a square board with a handle underneath; used by masons to hold or carry mortar',3,,0,0,
hay,hay,grass mowed and cured for use as fodder',1,,0,0,
headband,headband,a band worn around or over the head',1,,0,0,
headdress,headdress,clothing for the head',1,,0,0,
headlamp,headlamp,a powerful light with reflector; attached to the front of an automobile or locomotive',1,,0,0,
headlight,headlight,a powerful light with reflector; attached to the front of an automobile or locomotive',1,,0,0,
headphones,headphones,electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear',1,,0,0,
